epoch,train_loss,val_loss,dice_score,mean_iou
1,0.08586243632330334,0.055440011292696,0.8384012579917908,0.7447078824043274
2,0.0381149063439674,0.04994938188791275,0.897063136100769,0.826084315776825
3,0.032889152328445484,1.218916118144989,0.27776750922203064,0.18216535449028015
4,0.02623362769904338,0.0475564094632864,0.908873438835144,0.8435909152030945
5,0.02560563862204688,0.4178243296146393,0.3727579414844513,0.2576996982097626
6,0.022203334904866947,0.508171600818634,0.36752569675445557,0.25400516390800476
7,0.01978258240636285,0.10339340597391128,0.7895192503929138,0.6655629277229309
8,0.018588637497242048,0.021865376882255077,0.9506900906562805,0.9095883369445801
9,0.017507926888389674,0.04758065265417099,0.8967522978782654,0.83042973279953
10,0.01742278624189907,0.025291502453386783,0.9385976195335388,0.8899500966072083
11,0.016321439281123007,0.018078259840607642,0.9555067420005798,0.9173492789268494
12,0.014382229201478637,0.03679426768422127,0.9094964861869812,0.8392195701599121
13,0.01372172775971767,0.0994490439593792,0.8898395895957947,0.8095991611480713
14,0.012899598634066103,0.046471574544906614,0.8953469395637512,0.8178408145904541
15,0.013084270219535453,0.0510301514416933,0.8987905979156494,0.8364456295967102
16,0.012122495024418246,0.18113387423753738,0.7967894077301025,0.6732500195503235
17,0.011579869950794058,0.5349586057662964,0.4481181502342224,0.32803288102149963
18,0.01581869055580807,0.030380773082375526,0.9380098581314087,0.8893093466758728
19,0.014290303795611204,0.021815753780305387,0.9488835334777832,0.9068845510482788
20,0.011476029422916641,0.01295993433892727,0.9685000777244568,0.9401689171791077
21,0.010829044672868908,0.021272709004580975,0.9495705962181091,0.90923011302948
22,0.010313043963019502,0.021527396097779275,0.9626365303993225,0.9301866888999939
23,0.010817853158731098,0.019324379682540894,0.956367552280426,0.9207788109779358
24,0.009302859360428706,0.013735273119062185,0.9698948860168457,0.9430238008499146
25,0.009308347498708867,0.012000404771417379,0.9716262221336365,0.9458192586898804
26,0.007629878130065252,0.009164970237505436,0.9645448923110962,0.9336445331573486
